PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV
EQH PRA,EQH,,10.5,11/29/2024,,,0.33,5.25%,23.77,17.79,c525,20.6,2.81,-3.17,20.36,21.6,1.17,-4.62,18.41,23.76,17.26,23.89,53.0,20.46,2.05,-3.3,42.727273,49.506173,40.385757,46.400679,-3.31,2.67,49.156493,49.410319,-3.43,3.2,47.735849,57.239102,48072,47976,52933,49660
EQH PRC,EQH,,10.5,11/29/2024,,,0.27,4.30%,21.08,13.95,c425,16.83,2.88,-4.25,16.83,18.14,-0.0,-7.22,15.83,20.02,13.35,20.69,53.0,16.72,0.89,-3.3,48.636364,60.205761,67.922849,46.400679,-4.36,2.77,58.479467,48.427518,-3.97,3.37,55.145798,55.442536,27890,36326,69379,44531
ETI PR,ETR,,10,12/30/2024,,,0.34,5.38%,25.5,21.75,c525,22.57,1.16,-2.59,23.32,23.67,-1.76,-3.22,22.36,24.99,21.39,25.43,84.0,22.89,0.53,-2.1,57.525253,43.744856,76.468843,30.101868,-2.61,1.14,42.941176,64.447174,-2.54,1.5,35.523156,75.204756,1922,1540,1368,1610
F PRB,F,BB,9.5,11/12/2024,6/1/2024,,0.39,6.20%,26.79,20.83,c625,21.58,0.75,-5.21,21.28,23.24,1.41,-7.14,19.85,25.39,19.85,25.64,36.0,21.35,1.5,-4.04,41.515152,59.876543,53.442136,56.451613,-5.44,0.52,68.068812,70.540541,-4.29,1.5,59.536878,75.204756,44171,46483,47105,45920
F PRC,F,BB,9,11/12/2024,12/1/2024,,0.38,6.00%,25.99,20.49,c600,21.39,0.9,-4.6,20.89,22.86,2.41,-6.42,19.2,25.02,19.2,25.38,36.0,21.16,1.96,-3.86,36.464646,56.91358,42.522255,54.006791,-4.83,0.67,62.652608,69.066339,-4.22,1.96,58.576329,70.343461,46933,45157,31052,41047
FBRT PRE,FBRT,,NR,12/27/2024,,,0.47,7.50%,21.68,18.2,c750,20.71,2.51,-0.97,20.58,21.42,0.62,-3.32,19.05,23.65,18.03,23.65,81.0,20.66,1.61,-2.99,45.505051,44.156379,50.830861,42.190153,-1.02,2.46,28.823529,51.474201,-2.99,2.63,41.698113,63.26288,13269,11726,9786,11594
FCNCO,FCNCA,,9.5,11/27/2024,,,0.35,5.63%,24.08,19.4,c550,23.14,3.74,-0.94,22.25,22.92,3.98,0.98,20.57,24.81,18.91,24.83,51.0,22.99,2.42,-1.82,28.535354,26.460905,31.602374,26.298812,-1.09,3.59,29.445061,40.36855,-1.84,4.08,25.917667,47.939234,12397,13708,20432,15512
FCNCP,FCNCA,,9.5,11/27/2024,,,0.34,5.38%,23.66,18.85,c525,21.4,2.55,-2.26,21.31,22.31,0.43,-4.06,19.3,24.42,18.69,24.42,51.0,21.25,1.95,-3.17,46.464646,47.201646,42.759644,44.634975,-2.41,2.4,41.165372,52.063882,-3.17,2.56,44.168096,64.002642,16602,21693,31120,23138
FHN PRF,FHN,,8.5,12/20/2024,,,0.29,4.70%,,,c475,17.6,,,17.48,18.33,0.7,-3.99,16.41,21.48,13.13,21.48,74.0,17.55,1.14,-3.93,45.10101,46.91358,61.988131,54.957555,,,,,-3.93,4.42,54.596913,44.346103,6722,5381,6113,6072
FITBO,FITB,,10.5,12/26/2024,,,0.31,4.95%,25.79,17.93,c500,20.08,2.15,-5.71,21.16,21.69,-5.12,-7.42,19.52,24.15,17.58,24.15,80.0,20.05,0.53,-4.1,74.494949,61.028807,76.468843,57.266553,-5.74,2.12,70.732519,54.815725,-4.1,2.47,56.929674,64.953765,20027,21063,19571,20220
FITBP,FITB,,NR,12/26/2024,,,0.38,6.00%,25.6,22.13,c600,24.5,2.37,-1.1,24.38,24.5,0.48,-0.01,23.04,25.56,21.01,25.9,80.0,24.46,1.42,-1.1,46.212121,30.534979,55.341246,16.519525,-1.14,2.33,29.889012,52.751843,-1.44,3.45,20.428816,54.597094,7849,9234,10574,9219
FRT PRC,FRT,,12.5,1/2/2025,,,0.31,5.00%,25.75,19.64,c500,20.37,0.72,-5.39,20.56,21.37,-0.95,-4.74,19.41,23.27,18.57,23.9,87.0,20.35,0.94,-2.92,53.434343,50.0,66.735905,41.239389,-5.4,0.71,67.713651,68.673219,-3.55,1.78,49.382504,72.245707,6010,5595,2676,4760
FULTP,FULT,,11,12/2/2024,,,0.32,5.13%,23.1,15.09,c500,18.14,3.05,-4.96,18.92,19.23,-4.13,-5.69,17.25,21.22,14.56,21.22,56.0,18.02,0.77,-3.2,69.494949,53.909465,70.771513,45.042445,-5.08,2.93,64.872364,46.855037,-3.2,3.46,44.57976,54.491413,8496,6477,8962,7978
GAB PRG,GAB,,16,12/16/2024,,,0.31,5.00%,24.5,21.0,c500,20.54,-0.46,-3.96,21.05,21.8,-2.42,-5.77,20.17,23.95,20.17,24.2,70.0,20.47,0.3,-3.48,60.858586,54.238683,81.928783,48.845501,-4.03,-0.53,55.54939,80.859951,-3.73,0.3,51.852487,87.886394,4102,4727,2502,3777
GAB PRH,GAB,,16,12/16/2024,,,0.31,5.00%,23.89,20.98,c500,20.68,-0.3,-3.21,21.05,21.84,-1.74,-5.32,20.39,23.99,20.39,24.24,70.0,20.61,0.22,-3.38,57.424242,52.386831,83.827893,47.487267,-3.28,-0.37,48.890122,79.287469,-3.63,0.22,50.480274,88.731836,9338,10450,12776,10855
GAB PRK,GAB,,16,12/16/2024,,,0.31,5.00%,24.4,21.23,c500,20.69,-0.54,-3.71,21.06,21.85,-1.76,-5.31,20.48,24.17,20.48,24.25,70.0,20.62,0.14,-3.55,57.525253,52.345679,85.727003,49.796265,-3.78,-0.61,53.329634,81.646192,-3.63,0.14,50.480274,89.577279,7238,8040,10857,8711
GDV PRH,GDV,,17,12/16/2024,,,0.34,5.38%,25.85,22.55,c525,23.25,0.7,-2.6,23.19,23.66,0.28,-1.75,22.35,25.05,22.0,25.34,70.0,23.17,0.82,-1.88,47.222222,37.695473,69.58457,27.113752,-2.68,0.62,43.562708,69.55774,-2.17,1.17,30.445969,78.692206,2969,3249,3688,3302
GDV PRK,GDV,,17,12/13/2024,,,0.27,4.25%,20.82,17.65,c425,18.35,0.71,-2.46,18.45,19.12,-0.48,-3.97,17.96,20.99,16.96,21.49,67.0,18.29,0.33,-2.7,51.060606,46.831276,81.216617,38.251273,-2.53,0.64,42.230855,69.361179,-3.2,1.33,44.57976,77.001321,7779,8294,5354,7142
GGN PRB,GGN,,15,12/16/2024,5/7/2018,,0.31,5.00%,23.67,21.38,c500,20.62,-0.76,-3.05,20.7,21.36,-0.41,-3.48,19.84,23.88,19.84,24.15,70.0,20.55,0.71,-3.33,50.707071,44.814815,72.195846,46.808149,-3.12,-0.83,47.469478,83.808354,-3.6,0.71,50.068611,83.553501,8206,8753,4024,6994
GGT PRE,GGT,,15,12/16/2024,,,0.32,5.13%,24.85,22.98,c500,22.28,-0.7,-2.57,22.79,23.0,-2.24,-3.12,22.25,24.63,21.41,24.7,70.0,22.21,-0.04,-2.42,59.949495,43.333333,90.0,34.448217,-2.64,-0.77,43.207547,83.218673,-2.49,0.8,34.83705,82.602378,663,569,438,557
GGT PRG,GGT,,15,12/16/2024,12/20/2024,,0.32,5.13%,24.59,22.95,c500,22.47,-0.48,-2.12,22.66,22.96,-0.85,-2.13,22.25,24.47,21.87,24.47,70.0,22.4,0.15,-2.07,52.929293,39.259259,85.489614,29.694397,-2.19,-0.55,39.211987,81.056511,-2.07,0.53,29.073756,85.455746,892,1079,814,928
GNT PRA,GNT,,15,11/15/2024,,,0.33,5.20%,24.55,21.53,c525,21.48,-0.05,-3.07,21.67,22.2,-0.87,-3.24,21.31,24.0,21.17,24.3,39.0,21.29,-0.02,-2.71,53.030303,43.82716,89.525223,38.387097,-3.26,-0.24,48.712542,78.009828,-3.01,0.12,41.972556,89.788639,774,588,235,532
GPJA,SO,BB,11.5,12/27/2024,,,0.31,5.00%,25.62,20.82,c500,21.11,0.29,-4.51,22.05,23.31,-4.25,-9.44,20.29,24.98,20.29,25.66,81.0,21.08,0.79,-3.9,70.10101,69.341564,70.296736,54.550085,-4.54,0.26,60.077691,73.095823,-4.58,0.79,63.516295,82.708058,17539,14232,25830,19200
GRBK PRA,GRBK,,NR,11/25/2024,,,0.36,5.75%,22.08,17.93,c550,23.35,5.41,1.26,22.81,23.14,2.33,0.87,21.06,24.6,17.15,25.0,49.0,23.18,2.12,-1.42,36.868687,26.91358,38.724036,20.865874,1.1,5.25,10.0,24.054054,-1.82,6.03,25.643225,27.331572,3438,3173,4694,3768
GUT PRC,GUT,,16,12/16/2024,,,0.34,5.38%,25.39,23.02,c525,,-0.36,-2.73,23.69,24.19,-4.35,-6.34,22.36,25.0,22.33,25.56,70.0,22.58,0.22,-2.42,70.606061,56.584362,83.827893,34.448217,-2.81,-0.44,44.716981,79.97543,-2.98,0.25,41.560892,88.414795,1513,2066,3696,2425
HBANM,HBAN,,9,11/15/2024,12/1/2022,,0.36,5.70%,25.47,17.8,c550,,4.76,-2.91,22.42,23.01,0.63,-1.97,21.38,25.39,17.68,25.39,39.0,22.36,0.98,-3.03,45.454545,38.600823,65.78635,42.733447,-3.11,4.56,47.380688,30.835381,-3.03,4.68,42.246998,41.598415,10462,7864,4660,7662
HBANP,HBAN,,10,1/2/2025,,,0.28,4.50%,20.81,14.07,c450,17.63,3.56,-3.18,17.51,18.35,0.69,-3.92,16.22,20.65,13.71,20.74,87.0,17.62,1.4,-3.03,45.151515,46.625514,55.816024,42.733447,-3.19,3.55,48.09101,40.761671,-3.12,3.91,43.48199,49.735799,39552,39883,29623,36353
HFRO PRA,HFRO,,16,12/20/2024,,,0.34,5.38%,23.45,17.01,c525,16.18,-0.83,-7.27,15.66,17.51,3.35,-7.59,14.5,20.77,14.5,21.09,74.0,16.12,1.62,-4.65,31.717172,61.728395,50.593472,64.736842,-7.33,-0.89,84.850166,84.398034,-4.97,1.62,68.867925,73.936592,18880,15448,11805,15378
HIG PRG,HIG,,11,11/1/2024,11/15/2023,,0.38,6.00%,26.6,22.89,c600,25.09,2.2,-1.51,24.88,25.04,0.82,0.21,23.99,25.53,22.76,25.6,25.0,24.82,0.83,-0.71,44.494949,29.62963,69.347181,11.222411,-1.78,1.93,35.571587,56.683047,-0.78,2.06,11.372213,69.286658,18156,15748,19064,17656
HWCPZ,HWC,BB,11,11/27/2024,6/15/2025,,0.39,6.25%,26.56,22.45,c625,23.48,1.03,-3.08,23.75,24.05,-1.15,-2.37,22.21,25.42,21.05,26.19,51.0,23.31,1.1,-2.11,54.444444,40.246914,62.937685,30.237691,-3.25,0.86,48.623751,67.199017,-2.88,2.26,40.188679,67.173052,7518,7546,6717,7260
INN PRE,INN,,NR,11/13/2024,11/13/2022,,0.39,6.25%,21.22,18.14,c625,18.2,0.06,-3.02,19.17,20.29,-5.05,-10.32,17.3,21.77,17.3,22.48,37.0,17.97,0.67,-3.8,74.141414,72.962963,73.145401,53.191851,-3.25,-0.17,48.623751,77.321867,-4.51,0.67,62.555746,83.976222,9101,5716,3511,6109
INN PRF,INN,,NR,11/13/2024,8/12/2026,,0.37,5.88%,21.02,18.07,c575,17.85,-0.22,-3.17,18.6,19.88,-4.04,-10.21,17.03,22.0,16.75,22.0,37.0,17.63,0.6,-4.37,69.040404,72.510288,74.807122,60.933786,-3.39,-0.44,49.866815,79.97543,-4.37,0.88,60.634648,81.756935,4509,3303,4188,4000
JPM PRC,JPM,,11.5,10/29/2024,3/1/2024,,0.38,6.00%,26.1,24.11,c600,25.43,1.32,-0.67,25.14,25.27,1.16,0.63,24.74,25.76,23.87,25.82,22.0,25.14,0.4,-0.62,42.777778,27.901235,79.554896,10.0,-0.96,1.03,28.290788,65.528256,-0.68,1.27,10.0,77.635403,121758,134489,142140,132796
JPM PRD,JPM,,11.5,10/29/2024,12/1/2023,,0.36,5.75%,25.75,23.3,c550,24.79,1.49,-0.96,24.52,24.91,1.12,-0.47,23.82,25.56,22.83,25.67,22.0,24.52,0.7,-1.04,42.979798,32.427984,72.433234,15.704584,-1.23,1.22,30.688124,63.660934,-1.15,1.69,16.4494,73.19683,109592,120784,140921,123766
JPM PRJ,JPM,,11.5,10/29/2024,,,0.3,4.75%,23.74,19.38,c475,20.49,1.11,-3.25,20.26,21.49,1.13,-4.64,19.36,23.98,19.02,24.85,22.0,20.26,0.9,-3.72,42.929293,49.588477,67.68546,52.105263,-3.48,0.88,50.665927,67.002457,-4.59,1.24,63.653516,77.952444,70494,70807,50085,63795
JPM PRK,JPM,,11.5,10/29/2024,,,0.28,4.55%,21.65,18.67,c450,19.52,0.85,-2.13,19.33,20.52,1.0,-4.86,18.49,22.71,18.32,23.04,22.0,19.31,0.82,-3.4,43.585859,50.493827,69.58457,47.758913,-2.34,0.64,40.54384,69.361179,-3.73,0.99,51.852487,80.594452,131369,124364,114015,123249
JPM PRL,JPM,,11.5,10/29/2024,,,0.29,4.63%,21.62,18.94,c450,19.97,1.03,-1.65,19.68,20.88,1.48,-4.34,18.88,23.12,18.71,23.44,22.0,19.75,0.87,-3.37,41.161616,48.353909,68.397626,47.351443,-1.87,0.81,36.370699,67.690418,-3.69,1.04,51.303602,80.06605,143213,134237,162367,146606
JPM PRM,JPM,,11.5,10/29/2024,,,0.26,4.20%,20.7,17.17,c425,18.38,1.21,-2.32,18.09,19.14,1.58,-3.99,17.25,21.24,16.96,21.68,22.0,18.18,0.93,-3.06,40.656566,46.91358,66.973294,43.140917,-2.52,1.01,42.142064,65.724816,-3.5,1.22,48.696398,78.163804,187337,165974,176364,176558
JSM,NAVI,BB,7.5,12/13/2024,,,0.38,6.00%,23.5,16.7,c600,18.7,2.0,-4.8,18.38,19.26,1.72,-2.93,16.51,20.83,16.06,21.82,67.0,18.6,2.09,-2.23,39.949495,42.55144,39.436202,31.867572,-4.9,1.9,63.27414,56.977887,-3.22,2.54,44.854202,64.214003,15112,13543,15038,14564
KEY PRJ,KEY,,10.5,11/27/2024,,,0.35,5.65%,25.36,16.17,c550,21.5,5.33,-3.86,21.34,21.88,0.75,-1.74,19.97,24.18,15.19,24.18,51.0,21.35,1.38,-2.83,44.848485,37.654321,56.290801,40.016978,-4.01,5.18,55.371809,24.742015,-2.83,6.16,39.502573,25.957728,27623,25560,21872,25018
KEY PRK,KEY,,10.5,11/27/2024,,,0.35,5.63%,26.17,16.05,c550,21.55,5.5,-4.62,21.16,21.88,1.86,-1.51,19.76,24.43,14.99,24.43,51.0,21.4,1.64,-3.03,39.242424,36.707819,50.118694,42.733447,-4.77,5.35,62.119867,23.071253,-3.03,6.41,42.246998,23.31572,23677,21169,21083,21976
KIM PRL,KIM,,11.5,12/27/2024,,,0.32,5.13%,25.42,19.2,c500,19.76,0.56,-5.66,20.21,21.32,-2.23,-7.3,19.37,23.68,18.81,24.18,81.0,19.73,0.36,-3.95,59.89899,60.534979,80.504451,55.229202,-5.69,0.53,70.288568,70.44226,-4.45,0.92,61.732419,81.334214,11654,10694,8077,10142
KIM PRM,KIM,,11.5,12/27/2024,,,0.33,5.25%,25.4,19.83,c525,20.09,0.26,-5.31,20.56,21.84,-2.31,-8.01,19.71,24.43,19.71,25.16,81.0,20.06,0.35,-4.37,60.30303,63.45679,80.74184,60.933786,-5.34,0.23,67.18091,73.390663,-5.1,0.35,70.651801,87.357992,14638,16714,13727,15026
KREF PRA,KREF,,NR,11/27/2024,4/16/2026,,0.41,6.50%,23.37,16.18,c650,20.9,4.72,-2.47,19.42,19.96,7.65,4.7,17.98,21.88,15.81,23.66,51.0,20.72,2.74,-1.16,10.0,11.152263,24.005935,17.334465,-2.65,4.54,43.296337,31.031941,-2.94,4.91,41.012007,39.167768,17211,17074,13699,15995
MBINN,MBIN,,NR,12/13/2024,,,0.38,6.00%,24.23,16.5,c600,19.55,3.05,-4.68,20.23,21.39,-3.34,-8.59,18.31,24.0,16.31,24.34,67.0,19.45,1.14,-4.55,65.505051,65.843621,61.988131,63.378608,-4.78,2.95,62.208657,46.658477,-4.89,3.14,67.770154,57.873184,7713,7132,6059,6968
MET PRE,MET,,12,11/27/2024,,,0.35,5.63%,26.5,21.22,c550,23.9,2.68,-2.6,23.59,24.17,1.3,-1.12,22.66,25.19,21.03,25.23,51.0,23.75,1.09,-1.44,42.070707,35.102881,63.175074,21.137521,-2.75,2.53,44.18424,50.786241,-1.48,2.72,20.977702,62.311757,53482,45837,55642,51654
MET PRF,MET,,12,11/27/2024,,,0.3,4.75%,24.56,18.5,c475,19.86,1.36,-4.7,19.8,20.84,0.29,-4.72,19.0,23.21,18.33,23.21,51.0,19.73,0.73,-3.48,47.171717,49.917695,71.721068,48.845501,-4.83,1.23,62.652608,63.562654,-3.48,1.4,48.421955,76.261559,89285,93065,132744,105031
MFA PRB,MFA,,NR,11/27/2024,4/15/2018,,0.47,7.50%,21.92,18.34,c750,20.65,2.31,-1.27,20.9,21.56,-1.18,-4.22,18.27,23.67,17.01,23.67,51.0,20.45,2.18,-3.22,54.59596,47.860082,37.299703,45.314092,-1.47,2.11,32.81909,54.914005,-3.22,3.44,44.854202,54.702774,16422,15485,13128,15012
MGR,AMG,BB,12,12/27/2024,,,0.37,5.88%,26.29,19.6,c575,20.91,1.31,-5.38,20.98,22.62,-0.33,-7.54,19.91,25.15,19.43,25.17,81.0,20.87,0.96,-4.28,50.30303,61.522634,66.261128,59.711375,-5.42,1.27,67.891232,63.169533,-4.3,1.44,59.674099,75.838838,17986,17516,18935,18146
MGRB,AMG,BB,12,12/27/2024,,,0.3,4.75%,22.01,16.09,c475,17.23,1.14,-4.78,17.2,18.66,0.19,-7.67,16.13,21.0,15.83,21.0,81.0,17.2,1.07,-3.8,47.676768,62.057613,63.649852,53.191851,-4.81,1.11,62.475028,64.742015,-3.8,1.37,52.813036,76.5786,18126,19084,15647,17619
MGRD,AMG,BB,12,12/27/2024,,,0.26,4.20%,19.5,15.18,c425,15.34,0.16,-4.16,15.43,16.52,-0.56,-7.16,14.61,18.37,14.61,18.37,81.0,15.31,0.7,-3.06,51.464646,59.958848,72.433234,43.140917,-4.19,0.13,56.970033,74.373464,-3.06,0.7,42.658662,83.659181,10170,10198,9054,9807
MS PRK,MS,,11,12/27/2024,,,0.37,5.85%,26.38,21.4,c575,24.07,2.67,-2.31,23.53,24.44,2.29,-1.5,22.52,25.75,21.16,26.0,81.0,24.03,1.51,-1.72,37.070707,36.666667,53.204748,24.940577,-2.35,2.63,40.63263,49.80344,-1.97,2.87,27.701544,60.726552,79497,87606,82660,83254
MS PRL,MS,,11,12/27/2024,,,0.3,4.88%,24.0,18.32,c475,20.12,1.8,-3.88,20.07,21.7,0.26,-7.29,19.26,24.32,18.15,24.49,81.0,20.09,0.83,-4.23,47.323232,60.493827,69.347181,59.032258,-3.91,1.77,54.483907,58.255528,-4.4,1.94,61.046312,70.554822,26930,29034,28377,28114
MS PRO,MS,,11,12/27/2024,,,0.27,4.25%,20.77,15.9,c425,17.54,1.64,-3.23,17.59,18.75,-0.3,-6.47,16.77,21.02,15.7,21.47,81.0,17.51,0.74,-3.51,50.151515,57.119342,71.48368,49.252971,-3.26,1.61,48.712542,59.82801,-3.96,1.81,55.008576,71.928666,125041,105951,134196,121729
NCV PRA,NCV,,NR,12/5/2024,,,0.35,5.63%,24.28,20.92,c550,21.49,0.58,-2.78,21.74,22.0,-1.12,-2.28,20.72,23.16,20.6,23.64,59.0,21.38,0.66,-1.78,54.292929,39.876543,73.382789,25.755518,-2.9,0.46,45.516093,71.130221,-2.26,0.78,31.680961,82.813738,5475,3296,4835,4535
NCZ PRA,NCZ,,NR,12/5/2024,,,0.34,5.50%,24.28,20.5,c550,20.84,0.34,-3.44,21.01,21.05,-0.8,-0.99,19.92,21.95,19.92,22.38,59.0,20.72,0.8,-1.23,52.676768,34.567901,70.059347,18.285229,-3.56,0.22,51.376249,73.488943,-1.66,0.8,23.447684,82.602378,8800,8466,3410,6892
NEE PRN,NEE,BB,12,11/27/2024,,,0.35,5.65%,26.15,22.13,c550,22.59,0.46,-3.56,22.73,23.96,-0.6,-5.73,21.85,25.55,21.85,25.62,51.0,22.44,0.59,-3.11,51.666667,54.074074,75.04451,43.820034,-3.71,0.31,52.708102,72.604423,-3.18,0.59,44.305317,84.821664,48717,50360,52696,50591
NRUC,-,BB,13,11/1/2024,,,0.34,5.50%,25.22,21.75,c550,24.2,2.45,-1.02,23.56,24.11,2.74,0.37,22.38,25.75,21.64,25.75,25.0,23.95,1.57,-1.8,34.79798,28.971193,51.780415,26.027165,-1.27,2.2,31.043285,54.029484,-1.8,2.31,25.368782,66.64465,15601,14541,12006,14049
NSA PRA,NSA,,NR,12/13/2024,,,0.38,6.00%,25.3,20.65,c600,22.6,1.95,-2.7,22.53,22.84,0.33,-1.05,21.12,24.2,20.16,25.2,67.0,22.5,1.38,-1.7,46.969697,34.814815,56.290801,24.66893,-2.8,1.85,44.628191,57.469287,-2.7,2.34,37.718696,66.327609,11688,11866,11559,11704
NTRSO,NTRS,,13,12/13/2024,,,0.29,4.70%,24.85,18.3,c475,19.94,1.65,-4.9,19.69,20.85,1.32,-4.3,18.74,24.29,18.1,24.29,67.0,19.88,1.14,-4.41,41.969697,48.1893,61.988131,61.47708,-4.97,1.58,63.895671,60.12285,-4.41,1.78,61.183533,72.245707,27473,25556,31635,28221
NYMTZ,NYMT,,NR,1/2/2025,,,0.44,7.00%,19.78,16.6,c700,18.41,1.81,-1.37,18.49,19.33,-0.41,-4.78,16.75,21.49,15.31,21.75,87.0,18.4,1.65,-3.09,50.707071,50.164609,49.881306,43.548387,-1.38,1.8,32.019978,57.960688,-3.35,3.09,46.638079,58.401585,4095,3583,2957,3545
OPP PRA,OPP,,16,11/1/2024,,,0.27,4.38%,20.87,16.98,c425,17.2,0.22,-3.67,17.82,18.54,-3.48,-7.22,16.54,19.95,16.54,20.21,25.0,17.0,0.46,-2.95,66.212121,60.205761,78.130564,41.646859,-3.87,0.02,54.128746,75.454545,-3.21,0.46,44.716981,86.195509,4808,4471,6470,5250
OPP PRB,OPP,,16,11/1/2024,2/15/2027,,0.3,4.75%,21.43,18.7,c475,18.6,-0.1,-2.83,19.34,19.98,-3.8,-6.93,18.25,21.02,18.25,22.31,25.0,18.38,0.13,-2.64,67.828283,59.012346,85.964392,37.436333,-3.05,-0.32,46.847947,78.796069,-3.93,0.13,54.596913,89.682959,3094,2302,4092,3163
OZKAP,OZK,,9,11/1/2024,11/15/2026,,0.29,4.63%,20.78,14.61,c450,16.85,2.24,-3.93,16.55,17.05,1.83,-1.15,15.69,19.88,14.37,19.88,25.0,16.64,0.95,-3.24,39.393939,35.226337,66.498516,45.585739,-4.14,2.03,56.526082,55.700246,-3.24,2.27,45.128645,67.067371,29158,24769,18555,24160
PEB PRE,PEB,,NR,12/27/2024,,,0.4,6.38%,24.71,18.32,c625,17.66,-0.66,-7.05,18.06,20.19,-2.21,-12.54,16.27,23.22,16.27,23.22,81.0,17.62,1.35,-5.6,59.79798,82.098765,57.002967,77.640068,-7.09,-0.7,82.719201,82.530713,-5.6,1.35,77.512864,76.78996,9179,7183,5669,7344
PEB PRF,PEB,,NR,12/27/2024,,,0.39,6.30%,23.52,18.56,c625,17.9,-0.66,-5.62,18.28,20.31,-2.09,-11.85,16.85,23.75,16.85,23.75,81.0,17.86,1.01,-5.89,59.191919,79.259259,65.074184,81.578947,-5.66,-0.7,70.022198,82.530713,-5.89,1.01,81.492281,80.383091,7400,7757,4196,6451
PEB PRG,PEB,,NR,12/27/2024,,,0.4,6.38%,23.4,18.0,c625,17.86,-0.14,-5.54,18.27,20.06,-2.23,-10.95,16.6,22.94,16.6,23.18,81.0,17.82,1.22,-5.12,59.89899,75.555556,60.089021,71.120543,-5.58,-0.18,69.311876,77.420147,-5.36,1.22,74.219554,78.163804,9615,9067,5147,7943
PEB PRH,PEB,,NR,12/27/2024,,,0.36,5.70%,21.01,16.38,c550,16.1,-0.28,-4.91,16.51,18.14,-2.46,-11.24,15.51,21.12,15.02,21.12,81.0,16.06,0.55,-5.06,61.060606,76.748971,75.994065,70.305603,-4.95,-0.32,63.718091,78.796069,-5.06,1.04,70.102916,80.06605,11467,7605,7354,8808
PFH,PRU,BB,13,11/15/2024,9/1/2025,,0.26,4.13%,22.61,17.35,c400,17.49,0.14,-5.12,17.43,18.87,0.37,-7.33,16.62,21.27,16.62,21.59,39.0,17.34,0.72,-3.93,46.767677,60.658436,71.958457,54.957555,-5.27,-0.01,66.559378,75.749386,-4.25,0.72,58.987993,83.44782,31324,31405,38009,33579
PRH,PRU,BB,13,11/15/2024,,,0.37,5.95%,,23.79,c575,25.26,1.47,,24.8,25.53,1.85,-1.04,23.59,26.89,23.17,26.95,39.0,25.05,1.46,-1.84,39.292929,34.773663,54.391691,26.570458,,1.26,,63.267813,-1.9,1.88,26.740995,71.188904,19008,22800,14835,18881
PRS,PRU,BB,13,11/1/2024,8/15/2023,,0.35,5.63%,26.16,22.52,c550,24.0,1.48,-2.16,23.22,24.12,3.36,-0.49,22.35,25.42,22.31,25.42,25.0,23.75,1.4,-1.67,31.666667,32.510288,55.816024,24.26146,-2.41,1.23,41.165372,63.562654,-1.67,1.44,23.584906,75.838838,30670,29063,32516,30750
PSA PRF,PSA,,13.5,12/12/2024,,,0.32,5.15%,25.84,20.87,c500,20.78,-0.09,-5.06,20.99,22.62,-1.0,-8.14,19.87,25.08,19.87,25.11,66.0,20.69,0.82,-4.39,53.686869,63.99177,69.58457,61.205433,-5.15,-0.18,65.493896,77.420147,-4.42,0.82,61.320755,82.391017,18620,15352,21716,18563
PSA PRG,PSA,,13.5,12/12/2024,,,0.32,5.05%,25.87,21.11,c500,20.44,-0.67,-5.43,20.79,22.4,-1.67,-8.74,19.87,25.0,19.87,25.06,66.0,20.35,0.48,-4.65,57.070707,66.460905,77.655786,64.736842,-5.52,-0.76,68.779134,83.120393,-4.71,0.48,65.300172,85.984148,16894,14276,12734,14635
PSA PRH,PSA,,13.5,12/12/2024,,,0.35,5.60%,26.96,22.76,c550,22.85,0.09,-4.11,22.92,24.13,-0.29,-5.31,20.85,25.7,20.85,25.95,66.0,22.76,1.91,-2.94,50.10101,52.345679,43.709199,41.511036,-4.2,0.0,57.058824,75.651106,-3.19,1.91,44.442539,70.871863,19137,19489,15385,18004
PSA PRI,PSA,,13.5,12/12/2024,,,0.3,4.88%,25.8,19.44,c475,19.5,0.06,-6.3,19.8,21.36,-1.5,-8.69,18.69,23.72,18.69,23.94,66.0,19.42,0.73,-4.3,56.212121,66.255144,71.721068,59.983022,-6.38,-0.02,76.415094,75.847666,-4.52,0.73,62.692967,83.34214,14963,12777,13797,13846
PSA PRJ,PSA,,13.5,12/12/2024,,,0.29,4.70%,25.08,18.25,c475,18.79,0.54,-6.29,19.07,20.49,-1.48,-8.32,18.25,23.21,17.94,23.21,66.0,18.71,0.46,-4.5,56.111111,64.73251,78.130564,62.699491,-6.37,0.46,76.326304,71.130221,-4.5,0.77,62.418525,82.919419,15317,15242,14290,14950
